GOPrimaryKey,CouncilDistrict,GOHighestOffenseDesc,HighestNIBRS,GOReportDate,GOLocation,ClearanceStatus,ClearanceDate,GODistrict,GOLocationZip,GOCensusTract,GOXCoordinate,GOYCoordinate,RIN,PrimaryKey,DateOccurred,TimeOccurred,Location,AreaCommand,NatureOfContact,ReasonDesc,R2RLevel,MasterSubjectID,SubjectSex,SubjectRace,SubjectEthnicity,SubjectConductDesc,SubjectResistance,WeaponUsed1,WeaponUsed2,WeaponUsed3,WeaponUsed4,WeaponUsed5,NumberShots,SubjectEffects,EffectonOfficer,OfficerOrganizationDesc,OfficerCommissionDate,OfficerYrsofService,XCoordinate,YCoordinate,CouncilDistrict
2015351350,3,"AGG ASSAULT                   ","Agg Assault",4-Feb-15,"1924 VALLEY HILL CIR                                                                                ",C,5-Feb-15,H,78741,23.15,3118385,10058911,155799,2015351350,"02/04/2015 12:00:00 AM"," ","1924 VALLEY HILL CIR",HE,"TACTICAL OPERATION","NECESSARY TO EFFECT ARREST / DETENTION",3,"288949542: 2015351350",M,W,H,"","VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","","","","","","COMPLAINT OF INJURY/PAIN","NO COMPLAINT OF INJURY/PAIN","METRO TAC REGION 3","04/27/2007 12:00:00 AM",8,3118385,10058911,3
2015351350,3,"AGG ASSAULT                   ","Agg Assault",4-Feb-15,"1924 VALLEY HILL CIR                                                                                ",C,5-Feb-15,H,78741,23.15,3118385,10058911,155800,2015351350,"02/04/2015 12:00:00 AM"," ","1924 VALLEY HILL CIR",HE,"TACTICAL OPERATION","NECESSARY TO DEFEND REPORTING OFFICER",3,"288949542: 2015351350",M,W,H,"EDP/MENTALLY UNSTABLE","VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION","CHEMICAL AGENT - O C SPRAY","","","","","","COMPLAINT OF INJURY/PAIN","NO COMPLAINT OF INJURY/PAIN","PARK 400 SPECIALIZE PTRL","11/22/2002 12:00:00 AM",12,3118385,10058911,3
2015351350,3,"AGG ASSAULT                   ","Agg Assault",4-Feb-15,"1924 VALLEY HILL CIR                                                                                ",C,5-Feb-15,H,78741,23.15,3118385,10058911,155819,2015351350,"02/04/2015 12:00:00 AM"," ","1924 VALLEY HILL CIR",HE,"TACTICAL OPERATION","NECESSARY TO DEFEND REPORTING OFFICER",2,"288949807: 2015351350",M,W,H,"EDP/MENTALLY UNSTABLE","VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION","IMPACT WEAPON - BATON","CHEMICAL AGENT - O C SPRAY","","","","","COMPLAINT OF INJURY/PAIN","NO COMPLAINT OF INJURY/PAIN","PARK 400 SPECIALIZE PTRL","11/22/2002 12:00:00 AM",12,3118385,10058911,3
2015360922,1,"AGG ASSAULT ON PUBLIC SERVANT ","Agg Assault",5-Feb-15,"6912 BRYN MAWR DR                                                                                   ",C,24-Feb-15,I,78723,21.13,3137435,10088569,155806,2015360922,"02/05/2015 12:00:00 AM"," ","6912 BRYN MAWR DR",ID,"TACTICAL OPERATION","NECESSARY TO EFFECT ARREST / DETENTION",3,"458894767: 2015360922",M,B,N,"SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","EDGED WEAPON","CED - DRIVE STUN-ENTER # SHOTS","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","","","",1,"COMPLAINT OF INJURY/PAIN","NO COMPLAINT OF INJURY/PAIN","SWAT SPECIAL OPERATIONS","05/25/2001 12:00:00 AM",14,3137435,10088569,1
2015360922,1,"AGG ASSAULT ON PUBLIC SERVANT ","Agg Assault",5-Feb-15,"6912 BRYN MAWR DR                                                                                   ",C,24-Feb-15,I,78723,21.13,3137435,10088569,155859,2015360922,"02/05/2015 12:00:00 AM"," ","6912 BRYN MAWR DR",ID,"TACTICAL OPERATION","NECESSARY TO EFFECT ARREST / DETENTION",2,"458894767: 2015360922",M,B,N,"SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION; EDGED WEAPON","IMPACT MUNITION/RUBBER RND-ENTER # SHOTS","CED - DRIVE STUN-ENTER # SHOTS","CED - PRONGS-ENTER # SHOTS","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","",9,"MINOR INJURY","NO COMPLAINT OF INJURY/PAIN","SWAT SPECIAL OPERATIONS","01/04/2008 12:00:00 AM",7,3137435,10088569,1
2015360922,1,"AGG ASSAULT ON PUBLIC SERVANT ","Agg Assault",5-Feb-15,"6912 BRYN MAWR DR                                                                                   ",C,24-Feb-15,I,78723,21.13,3137435,10088569,155860,2015360922,"02/05/2015 12:00:00 AM",1900,"6912 BRYN MAWR DR",ID,"TACTICAL OPERATION","NECESSARY TO EFFECT ARREST / DETENTION",3,"458894767: 2015360922",M,B,N,"","EDGED WEAPON","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","","","","","","NO COMPLAINT OF INJURY/PAIN","NO COMPLAINT OF INJURY/PAIN","SWAT SPECIAL OPERATIONS","11/21/1997 12:00:00 AM",17,3137435,10088569,1
2015360922,1,"AGG ASSAULT ON PUBLIC SERVANT ","Agg Assault",5-Feb-15,"6912 BRYN MAWR DR                                                                                   ",C,24-Feb-15,I,78723,21.13,3137435,10088569,160962,2015360922,"02/05/2015 12:00:00 AM",1900,"6912 BRYN MAWR DR",ID,"TACTICAL OPERATION","NECESSARY TO EFFECT ARREST / DETENTION",3,"458894767: 2015360922",M,B,N,"","VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION; EDGED WEAPON","IMPACT MUNITION/RUBBER RND-ENTER # SHOTS","","","","","","NO COMPLAINT OF INJURY/PAIN","NO COMPLAINT OF INJURY/PAIN","BOMB /EOD K9 SPECIAL OPS","04/12/1998 12:00:00 AM",17,3137435,10088569,1
2015360922,1,"AGG ASSAULT ON PUBLIC SERVANT ","Agg Assault",5-Feb-15,"6912 BRYN MAWR DR                                                                                   ",C,24-Feb-15,I,78723,21.13,3137435,10088569,161065,2015360922,"02/05/2015 12:00:00 AM"," ","6912 BRYN MAWR DR",ID,"","","","","","","","","","","","","","","","","","SWAT SPECIAL OPERATIONS","01/04/2008 12:00:00 AM",7,3137435,10088569,1
2015360578,7,"THEFT                         ",Theft,5-Feb-15,"12900 N IH 35 SB                                                                                    ",C,5-Feb-15,E,78753,18.26,3134750,10123486,155820,2015360578,"02/05/2015 12:00:00 AM",1355,"12900 N IH 35 SB",ED,OTHER,"NECESSARY TO EFFECT ARREST / DETENTION",3,"459077264: 2015360578",M,W,H,"","EMPTY HAND DEFENSIVE RESISTANCE","CED - PRONGS MISSED-ENTER # SHOTS","","","","",1,"MINOR INJURY","NO COMPLAINT OF INJURY/PAIN","IDA 200 REG I PATROL","01/02/2009 12:00:00 AM",6,3134750,10123486,7
2015381788,8,"AGG ASSAULT ON PUBLIC SERVANT ","Agg Assault",7-Feb-15,"8206 PAX DR                                                                                         ",O,3-Jun-15,D,78736,17.69,3068495,10061267,156421,2015381788,"02/07/2015 12:00:00 AM"," ","8206 PAX DR",DA,"DISPATCHED CALL","NECESSARY TO DEFEND ANOTHER",1,"459014451: 2015381788",M,W,N,"SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS",FIREARM,"FIREARM - RIFLE-ENTER # SHOTS","","","","",1,DEATH,"NO COMPLAINT OF INJURY/PAIN","SWAT SPECIAL OPERATIONS","06/20/2008 12:00:00 AM",7,3068495,10061267,8
2015390765,5,"THEFT BY SHOPLIFTING          ",Theft,8-Feb-15,"9300 S IH 35 SVRD SB                                                                                ",C,10-Feb-15,F,78748,24.21,3100423,10033116,156002,2015390765,"02/08/2015 12:00:00 AM",1230,"9300 S IH 35 SVRD SB",FR,"DISPATCHED CALL","NECESSARY TO EFFECT ARREST / DETENTION",3,"169148727: 2015390765",M,W,H,"SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","EMPTY HAND DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","","","","","","NO COMPLAINT OF INJURY/PAIN","MINOR INJURY","FRANK 200 REG IV PATROL","01/04/2008 12:00:00 AM",7,3100423,10033116,5
2015391544,3,"THEFT                         ",Theft,8-Feb-15,"3708 S 2ND ST                                                                                       ","","",D,78704,13.07,3105726,10056729,156003,2015391544,"02/08/2015 12:00:00 AM",2101,"3708 S 2ND ST",DA,"DISPATCHED CALL","NECESSARY TO EFFECT ARREST / DETENTION",3,"459219716: 2015391544",M,W,H,"","EMPTY HAND DEFENSIVE RESISTANCE","","","","","","","NO COMPLAINT OF INJURY/PAIN","NO COMPLAINT OF INJURY/PAIN","DAVID 500 REG IV PATROL","12/13/2013 12:00:00 AM",1,3105726,10056729,3
2015400915,4,"THEFT BY SHOPLIFTING          ",Theft,9-Feb-15,"1030 NORWOOD PARK BLVD                                                                              ",C,23-Feb-15,I,78753,18.13,3129997,10096983,155978,2015400915,"02/09/2015 12:00:00 AM",1445,"1030 NORWOOD PARK BLVD",ID,"DISPATCHED CALL","IN CUSTODY, MAINTAINING CONTROL",3,"15993475: 2015400915",F,W,H,"","VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","","","","","","COMPLAINT OF INJURY/PAIN","COMPLAINT OF INJURY/PAIN","IDA 200 REG I PATROL","08/25/1990 12:00:00 AM",24,3129997,10096983,4
2015400915,4,"THEFT BY SHOPLIFTING          ",Theft,9-Feb-15,"1030 NORWOOD PARK BLVD                                                                              ",C,23-Feb-15,I,78753,18.13,3129997,10096983,156042,2015400915,"02/09/2015 12:00:00 AM",1423,"1030 NORWOOD PARK BLVD",ID,"DISPATCHED CALL","IN CUSTODY, MAINTAINING CONTROL",3,"15993475: 2015400915",F,W,H,"","VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","","","","","","COMPLAINT OF INJURY/PAIN","NO COMPLAINT OF INJURY/PAIN","SWAT SPECIAL OPERATIONS","06/23/2006 12:00:00 AM",9,3129997,10096983,4
2015410072,9,"ROBBERY BY ASSAULT            ",Robbery,10-Feb-15,"600 SAN JACINTO BLVD                                                                                ",C,10-Feb-15,G,78701,11.0,3115070,10070567,156061,2015410072,"02/10/2015 12:00:00 AM",115,"600 SAN JACINTO BLVD",GE,"VIEWED OFFENSE","NECESSARY TO EFFECT ARREST / DETENTION",3,"458812783: 2015410072",M,W,N,"",OTHER,"CED - PRONGS MISSED-ENTER # SHOTS","","","","",1,"NO COMPLAINT OF INJURY/PAIN","NO COMPLAINT OF INJURY/PAIN","GEORGE 400 REG I PATROL","11/30/2012 12:00:00 AM",2,3115070,10070567,9
2015410948,1,"BURGLARY OF RESIDENCE         ",Burglary,10-Feb-15,"6501 GREENSBORO DR                                                                                  ",C,16-Feb-15,C,78723,21.08,3138223,10085025,156082,2015410948,"02/10/2015 12:00:00 AM"," ","6501 GREENSBORO DR",CH,"DISPATCHED CALL","NECESSARY TO EFFECT ARREST / DETENTION",2,"459226727: 2015410948",M,B,N,"","EMPTY HAND DEFENSIVE RESISTANCE","CED - PRONGS-ENTER # SHOTS","","","","",1,"MINOR INJURY","NO COMPLAINT OF INJURY/PAIN","CHARLIE 100 REG III PATROL","06/18/2004 12:00:00 AM",11,3138223,10085025,1
2015410596,7,"AGG ASSAULT FAM/DATE VIOLENCE ","Agg Assault",10-Feb-15,"1005 RUTH AVE                                                                                       ",C,16-Feb-15,I,78757,15.05,3119787,10095598,156101,2015410596,"02/10/2015 12:00:00 AM",1144,"1005 RUTH AVE",ID,"DISPATCHED CALL","NECESSARY TO EFFECT ARREST / DETENTION",3,"413860124: 2015410596",F,A,N,"EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","EMPTY HAND DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","","","","","","COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED","NO COMPLAINT OF INJURY/PAIN","CHARLIE 100 REG III PATROL","04/23/2010 12:00:00 AM",5,3119787,10095598,7
2015421788,3,"AGG ASLT ENHANC STRANGL/SUFFOC","Agg Assault",11-Feb-15,"1105 VALDEZ ST                                                                                      ",C,13-Feb-15,H,78741,23.12,3129767,10057492,156111,2015421788,"02/11/2015 12:00:00 AM"," ","1105 VALDEZ ST",HE,"DISPATCHED CALL","NECESSARY TO EFFECT ARREST / DETENTION",3,"211550790: 2015421788",M,W,H,"","VERBAL RESISTANCE/AGGRESSION",OTHER,"","","","","","","","HENRY 300 REG III PATROL","06/23/2006 12:00:00 AM",9,3129767,10057492,3
2015421788,3,"AGG ASLT ENHANC STRANGL/SUFFOC","Agg Assault",11-Feb-15,"1105 VALDEZ ST                                                                                      ",C,13-Feb-15,H,78741,23.12,3129767,10057492,156161,2015421788,"02/11/2015 12:00:00 AM",2158,"1105 VALDEZ ST",HE,"DISPATCHED CALL","NECESSARY TO EFFECT ARREST / DETENTION",3,"211550790: 2015421788",M,W,H,"SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","","","","","","NO COMPLAINT OF INJURY/PAIN","NO COMPLAINT OF INJURY/PAIN","ACADEMY CADET TRAINING REG II","06/23/2006 12:00:00 AM",9,3129767,10057492,3
2015431291,1,"BURGLARY OF RESIDENCE         ",Burglary,12-Feb-15,"1120 NORTHWESTERN AVE                                                                               ",C,16-Feb-15,C,78702,8.04,3122781,10071067,156362,2015431291,"02/12/2015 12:00:00 AM",1719,"1120 NORTHWESTERN AVE",CH,"DISPATCHED CALL","NECESSARY TO EFFECT ARREST / DETENTION",3,"90443116: 2015431291",M,W,H,"","EMPTY HAND DEFENSIVE RESISTANCE; OTHER","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","","","","","","COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED","","CHARLIE 300 REG III PATROL","07/13/2012 12:00:00 AM",3,3122781,10071067,1
2015481668,5,"THEFT BY SHOPLIFTING          ",Theft,17-Feb-15,"9300 S IH 35 SVRD SB                                                                                ",C,17-Feb-15,F,78748,24.21,3100423,10033116,156381,2015481668,"02/17/2015 12:00:00 AM"," ","9300 S IH 35 SVRD SB",FR,"VIEWED OFFENSE","NECESSARY TO EFFECT ARREST / DETENTION",3,"190841152: 2015481668",M,W,N,"SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","EMPTY HAND DEFENSIVE RESISTANCE","CED - PRONGS MISSED-ENTER # SHOTS","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","","","",2,"NO COMPLAINT OF INJURY/PAIN","NO COMPLAINT OF INJURY/PAIN","FRANK 700 REG IV PATROL","11/30/2012 12:00:00 AM",2,3100423,10033116,5
